created_at,order_number,sku,total_order_price,discount_code
2020-11-17 09:17:04+00:00,9156,73PM419,54,
2020-11-17 09:17:04+00:00,9156,730508,54,
2020-11-17 09:17:04+00:00,9156,730504,54,
2020-11-17 09:17:04+00:00,9156,PM591,54,
2020-11-17 09:17:04+00:00,9156,LUBMONO1,54,
2020-11-17 09:16:52+00:00,9155,73PM099,38,
2020-11-17 09:16:52+00:00,9155,PM037,38,
2020-11-17 09:16:41+00:00,9154,73PM419,39,
2020-11-17 09:16:41+00:00,9154,73PM099,39,
2020-11-17 09:16:41+00:00,9154,PM591,39,
2020-11-17 09:15:34+00:00,9153,73PM099,39,
2020-11-17 09:15:34+00:00,9153,PM056,39,
2020-11-17 09:14:31+00:00,9152,REGALITOS1,76,
2020-11-17 09:14:31+00:00,9152,TP00072-3,76,
2020-11-17 09:14:31+00:00,9152,TP00072-4,76,
2020-11-17 09:14:31+00:00,9152,TP00064,76,
2020-11-17 09:14:31+00:00,9152,73PM099,76,
2020-11-17 09:14:31+00:00,9152,PM056,76,
2020-11-17 09:14:11+00:00,9151,73PM099,38,
2020-11-17 09:14:11+00:00,9151,PM039,38,
2020-11-17 09:14:07+00:00,9150,40465,47,
2020-11-17 09:14:07+00:00,9150,73PM099,47,
2020-11-17 09:14:07+00:00,9150,73PM418,47,
2020-11-17 09:13:58+00:00,9149,73PM099,38,
2020-11-17 09:13:58+00:00,9149,PM056,38,
2020-11-17 09:13:28+00:00,9148,REGALITOS2,110,U0M1R7
2020-11-17 09:13:28+00:00,9148,PM518-2,110,U0M1R7
2020-11-17 09:13:28+00:00,9148,LUBMONO1,110,U0M1R7
2020-11-17 09:13:28+00:00,9148,PM056,110,U0M1R7
2020-11-17 09:13:28+00:00,9148,PM037,110,U0M1R7
2020-11-17 09:13:22+00:00,9147,73PM099,38,
2020-11-17 09:13:22+00:00,9147,PM037,38,
2020-11-17 09:13:05+00:00,9146,73PM099,70,
2020-11-17 09:13:05+00:00,9146,PM037,70,
2020-11-17 09:12:39+00:00,9145,73PM099,29,
2020-11-17 09:12:39+00:00,9145,PM591,29,
2020-11-17 09:12:34+00:00,9144,73PM099,39,
2020-11-17 09:12:34+00:00,9144,PM039,39,
2020-11-17 09:12:33+00:00,9143,LUBMONO1,43,
2020-11-17 09:12:33+00:00,9143,PM056,43,
2020-11-17 09:12:25+00:00,9142,73PM099,39,
2020-11-17 09:12:25+00:00,9142,PM056,39,
2020-11-17 09:11:56+00:00,9141,REGALITOS2,115,
2020-11-17 09:11:56+00:00,9141,LUB100,115,
2020-11-17 09:11:56+00:00,9141,PM549,115,
2020-11-17 09:11:56+00:00,9141,73PM099,115,
2020-11-17 09:11:56+00:00,9141,73PM419,115,
2020-11-17 09:11:56+00:00,9141,PM546,115,
2020-11-17 09:11:56+00:00,9141,LIMP150,115,
2020-11-17 09:11:49+00:00,9140,TP00373,53,
2020-11-17 09:11:49+00:00,9140,73PM099,53,
2020-11-17 09:11:49+00:00,9140,TP00264,53,
2020-11-17 09:11:22+00:00,9139,LUBMONO1,53,
2020-11-17 09:11:22+00:00,9139,PM045,53,
2020-11-17 09:11:18+00:00,9138,73PM099,41,
2020-11-17 09:11:18+00:00,9138,TP00102,41,
2020-11-17 09:11:18+00:00,9138,TP00003-2,41,
2020-11-17 09:11:18+00:00,9138,TP00097-7,41,
2020-11-17 09:11:18+00:00,9138,PM591,41,
2020-11-17 09:10:33+00:00,9137,REGALITOS3,149,
2020-11-17 09:10:33+00:00,9137,TP00264,149,
2020-11-17 09:10:33+00:00,9137,PM036,149,
2020-11-17 09:10:33+00:00,9137,PM525-6,149,
2020-11-17 09:10:33+00:00,9137,LUBMONO1,149,
2020-11-17 09:10:33+00:00,9137,LIMP150,149,
2020-11-17 09:10:33+00:00,9137,LUB50,149,
2020-11-17 09:10:28+00:00,9136,REGALITOS1,89,
2020-11-17 09:10:28+00:00,9136,PM555,89,
2020-11-17 09:10:28+00:00,9136,LUB50,89,
2020-11-17 09:10:28+00:00,9136,LUBMONO1,89,
2020-11-17 09:10:28+00:00,9136,TP00088,89,
2020-11-17 09:10:28+00:00,9136,LIMP150,89,
2020-11-17 09:10:28+00:00,9136,PM591,89,
2020-11-17 09:10:25+00:00,9135,LIMP150,66,
2020-11-17 09:10:25+00:00,9135,73PM099,66,
2020-11-17 09:10:25+00:00,9135,PM039,66,
2020-11-17 09:10:25+00:00,9135,PM591,66,
2020-11-17 09:10:21+00:00,9134,73PM099,49,
2020-11-17 09:10:21+00:00,9134,PM518-1,49,
2020-11-17 09:09:53+00:00,9133,73PM099,39,
2020-11-17 09:09:53+00:00,9133,PM038,39,
2020-11-17 09:09:34+00:00,9132,REGALITOS1,83,
2020-11-17 09:09:34+00:00,9132,73PM099,83,
2020-11-17 09:09:34+00:00,9132,LUB50,83,
