,Date,sku,unit_price,units
0,"Feb 15, 2021",M735H7159,55.71,262.0
1,"Feb 15, 2021",3637H1617,140.36,5.0
2,"Feb 15, 2021",P036H2062,68.03,13.0
3,"Feb 15, 2021",M630H8980,49.77,186.0
4,"Feb 15, 2021",P037H2072,68.03,5.0
5,"Feb 15, 2021",-233H1277,93.2,5.0
6,"Feb 15, 2021",P036H2066,74.11,6.0
7,"Feb 15, 2021",3635H0605,106.03,5.0
8,"Feb 15, 2021",2734H9994,11.31,6.0
9,"Feb 15, 2021",P036H2067,83.81,7.0
10,"Feb 14, 2021",P037H2071,68.03,5.0
11,"Feb 14, 2021",P036H2066,74.11,11.0
12,"Feb 14, 2021",3637H1617,140.36,5.0
13,"Feb 14, 2021",M630H8980,49.03,233.0
14,"Feb 14, 2021",M735H7159,55.6,320.0
15,"Feb 14, 2021",P036H2062,68.03,16.0
16,"Feb 14, 2021",2734H9994,24.11,5.0
17,"Feb 14, 2021",-232H1247,108.29,5.0
18,"Feb 13, 2021",2734H9994,24.11,5.0
19,"Feb 13, 2021",M735H7159,54.67,241.0
20,"Feb 13, 2021",M630H8980,47.15,233.0
21,"Feb 13, 2021",P036H2066,74.11,8.0
22,"Feb 13, 2021",-233H1277,93.2,7.0
23,"Feb 13, 2021",P036H2062,64.2,15.0
24,"Feb 13, 2021",3635H0605,106.03,5.0
25,"Feb 12, 2021",P036H2066,74.11,6.0
26,"Feb 12, 2021",2734H9994,24.11,6.0
27,"Feb 12, 2021",P037H2072,68.03,5.0
28,"Feb 12, 2021",P037H2071,68.03,5.0
29,"Feb 12, 2021",M735H7159,55.2,242.0
30,"Feb 12, 2021",M630H8980,48.12,188.0
31,"Feb 12, 2021",3636H1616,140.36,5.0
32,"Feb 12, 2021",-233H1277,93.2,5.0
33,"Feb 12, 2021",P036H2067,83.81,5.0
34,"Feb 12, 2021",P036H2062,68.03,9.0
35,"Feb 11, 2021",3637H1617,140.36,5.0
36,"Feb 11, 2021",P036H2062,63.76,14.0
37,"Feb 11, 2021",M735H7159,55.43,282.0
38,"Feb 11, 2021",M630H8980,49.81,179.0
39,"Feb 11, 2021",P037H2072,68.03,6.0
40,"Feb 11, 2021",-233H1277,93.2,5.0
41,"Feb 11, 2021",-233H1279,93.2,5.0
42,"Feb 11, 2021",P036H2066,74.11,12.0
43,"Feb 11, 2021",2734H9994,24.11,5.0
44,"Feb 10, 2021",M630H8980,55.89,165.0
45,"Feb 10, 2021",P036H2068,96.01,7.0
46,"Feb 10, 2021",M735H7159,55.05,330.0
47,"Feb 10, 2021",P037H2071,68.03,6.0
48,"Feb 10, 2021",P036H2066,69.06,13.0
49,"Feb 10, 2021",P037H2072,68.03,8.0
50,"Feb 10, 2021",P036H2062,68.03,14.0
51,"Feb 9, 2021",P036H2066,74.11,6.0
52,"Feb 9, 2021",M735H7159,54.75,401.0
53,"Feb 9, 2021",M630H8980,56.29,154.0
54,"Feb 9, 2021",P037H2072,68.03,6.0
55,"Feb 9, 2021",P036H2068,96.01,5.0
56,"Feb 9, 2021",P036H2067,83.81,5.0
57,"Feb 9, 2021",P037H2071,68.03,6.0
58,"Feb 9, 2021",2734H9994,24.11,7.0
59,"Feb 9, 2021",-232H1243,108.29,5.0
60,"Feb 9, 2021",P036H2062,68.03,14.0
61,"Feb 8, 2021",M630H8980,56.09,183.0
62,"Feb 8, 2021",P037H2071,68.03,5.0
63,"Feb 8, 2021",2734H9994,24.11,6.0
64,"Feb 8, 2021",P036H2065,76.51,5.0
65,"Feb 8, 2021",M735H7159,55.29,421.0
66,"Feb 8, 2021",P037H2072,68.03,5.0
67,"Feb 8, 2021",P036H2062,68.03,11.0
68,"Feb 8, 2021",P036H2066,74.11,11.0
69,"Feb 8, 2021",-233H1279,93.2,6.0
70,"Feb 7, 2021",P036H2062,68.03,14.0
71,"Feb 7, 2021",M735H7159,54.32,411.0
72,"Feb 7, 2021",P036H2067,83.81,5.0
73,"Feb 7, 2021",2734H9994,24.11,6.0
74,"Feb 7, 2021",P037H2071,68.03,6.0
75,"Feb 7, 2021",-233H1279,93.2,6.0
76,"Feb 7, 2021",M630H8980,55.39,180.0
77,"Feb 7, 2021",P036H2066,65.77,9.0
78,"Feb 7, 2021",-233H1278,93.2,5.0
79,"Feb 7, 2021",P036H2065,76.51,12.0
80,"Feb 6, 2021",2734H9994,24.11,7.0
81,"Feb 6, 2021",-232H1247,108.29,5.0
82,"Feb 6, 2021",-232H1243,108.29,5.0
83,"Feb 6, 2021",M630H8980,54.21,202.0
84,"Feb 6, 2021",M735H7159,53.51,375.0
85,"Feb 6, 2021",-233H1279,93.2,5.0
86,"Feb 6, 2021",P036H2066,74.11,8.0
87,"Feb 6, 2021",P037H2071,68.03,8.0
88,"Feb 6, 2021",P036H2065,76.51,14.0
89,"Feb 6, 2021",P036H2062,68.03,17.0
90,"Feb 6, 2021",P037H2072,68.03,6.0
91,"Feb 6, 2021",P036H2067,83.81,6.0
92,"Feb 5, 2021",P036H2066,74.11,6.0
93,"Feb 5, 2021",P036H2065,71.98,14.0
94,"Feb 5, 2021",M735H7159,55.29,360.0
95,"Feb 5, 2021",P037H2072,68.03,6.0
96,"Feb 5, 2021",P037H2071,68.03,5.0
97,"Feb 5, 2021",P036H2062,68.03,14.0
98,"Feb 5, 2021",3630H2620,114.6,6.0
99,"Feb 5, 2021",P036H2068,96.01,5.0
100,"Feb 5, 2021",M630H8980,56.24,175.0
101,"Feb 5, 2021",P036H2067,57.84,6.0
102,"Feb 4, 2021",P037H2070,122.1,5.0
103,"Feb 4, 2021",P036H2066,74.11,6.0
104,"Feb 4, 2021",M735H7159,54.4,339.0
105,"Feb 4, 2021",P036H2062,68.03,12.0
106,"Feb 4, 2021",M630H8980,56.48,148.0
107,"Feb 3, 2021",P036H2066,54.13,12.0
108,"Feb 3, 2021",2734H9994,24.11,5.0
109,"Feb 3, 2021",P037H2071,68.03,5.0
110,"Feb 3, 2021",M630H8980,54.48,182.0
111,"Feb 3, 2021",P036H2067,83.81,5.0
112,"Feb 3, 2021",3630H2620,114.6,5.0
113,"Feb 3, 2021",-233H1277,93.2,5.0
114,"Feb 3, 2021",-232H1243,108.29,5.0
115,"Feb 3, 2021",P036H2068,96.01,5.0
116,"Feb 3, 2021",M735H7159,55.62,395.0
117,"Feb 3, 2021",P036H2062,68.03,14.0
118,"Feb 3, 2021",P037H2072,68.03,7.0
119,"Feb 2, 2021",M735H7159,54.32,388.0
120,"Feb 2, 2021",P036H2067,83.81,5.0
121,"Feb 2, 2021",P037H2072,60.05,9.0
122,"Feb 2, 2021",M630H8980,55.97,193.0
123,"Feb 2, 2021",-233H1277,93.2,6.0
124,"Feb 2, 2021",P036H2062,65.11,18.0
125,"Feb 2, 2021",P036H2066,74.11,8.0
126,"Feb 1, 2021",P037H2071,66.08,7.0
127,"Feb 1, 2021",P037H2072,53.9,7.0
128,"Feb 1, 2021",P036H2067,81.72,5.0
129,"Feb 1, 2021",P036H2062,64.01,18.0
130,"Feb 1, 2021",M630H8980,55.34,175.0
131,"Feb 1, 2021",P036H2066,74.11,6.0
132,"Feb 1, 2021",-233H1278,93.2,5.0
133,"Feb 1, 2021",2734H9994,24.11,6.0
134,"Feb 1, 2021",M735H7159,55.39,484.0
135,"Jan 31, 2021",2734H9994,24.11,7.0
136,"Jan 31, 2021",M630H8980,47.74,247.0
137,"Jan 31, 2021",-233H1277,93.2,5.0
138,"Jan 31, 2021",P037H2071,65.18,9.0
139,"Jan 31, 2021",P036H2062,61.36,33.0
140,"Jan 31, 2021",P037H2072,64.2,12.0
141,"Jan 31, 2021",-233H1278,93.2,5.0
